BLItemNo,PartName,Colour,LDrawColour,Qty
3023,Plate 1 x 2,Black,0,1078
3023,Plate 1 x 2,Dark Bluish Gray,72,1048
3024,Plate 1 x 1,Black,0,916
3024,Plate 1 x 1,Dark Bluish Gray,72,843
3623,Plate 1 x 3,Black,0,535
3623,Plate 1 x 3,Dark Bluish Gray,72,513
3024,Plate 1 x 1,Dark Orange,484,472
3023,Plate 1 x 2,Dark Orange,484,467
3710,Plate 1 x 4,Dark Bluish Gray,72,403
3710,Plate 1 x 4,Black,0,275
3710,Plate 1 x 4,Dark Orange,484,244
3623,Plate 1 x 3,Dark Orange,484,233
3666,Plate 1 x 6,Dark Bluish Gray,72,174
60479,Plate 1 x 12,Black,0,168
60479,Plate 1 x 12,Dark Orange,484,156
3021,Plate 2 x 3,Dark Bluish Gray,72,133
3666,Plate 1 x 6,Black,0,122
3022,Plate 2 x 2,Dark Bluish Gray,72,121
3460,Plate 1 x 8,Dark Bluish Gray,72,118
3024,Plate 1 x 1,Light Bluish Gray,71,116
3023,Plate 1 x 2,Light Bluish Gray,71,115
3666,Plate 1 x 6,Dark Orange,484,113
60479,Plate 1 x 12,Dark Bluish Gray,72,110
3460,Plate 1 x 8,Dark Orange,484,106
4477,Plate 1 x 10,Dark Bluish Gray,72,105
3022,Plate 2 x 2,Black,0,86
3021,Plate 2 x 3,Black,0,82
4477,Plate 1 x 10,Black,0,73
4477,Plate 1 x 10,Dark Orange,484,71
3460,Plate 1 x 8,Black,0,57
3020,Plate 2 x 4,Dark Bluish Gray,72,45
3022,Plate 2 x 2,Light Bluish Gray,71,38
3623,Plate 1 x 3,Light Bluish Gray,71,32
3034,Plate 2 x 8,Dark Bluish Gray,72,31
3710,Plate 1 x 4,Light Bluish Gray,71,31
3666,Plate 1 x 6,Light Bluish Gray,71,29
3020,Plate 2 x 4,Black,0,28
3020,Plate 2 x 4,Dark Orange,484,24
3795,Plate 2 x 6,Dark Bluish Gray,72,22
3021,Plate 2 x 3,Dark Orange,484,22
3024,Plate 1 x 1,Dark Red,320,21
2445,Plate 2 x 12,Dark Bluish Gray,72,20
3832,Plate 2 x 10,Dark Bluish Gray,72,19
3022,Plate 2 x 2,Dark Orange,484,18
3795,Plate 2 x 6,Dark Orange,484,16
3024,Plate 1 x 1,Red,4,16
3666,Plate 1 x 6,Dark Brown,308,14
4282,Plate 2 x 16,Dark Orange,484,13
3024,Plate 1 x 1,Medium Nougat,84,13
3029,Plate 4 x 12,Black,0,11
3795,Plate 2 x 6,Black,0,10
3020,Plate 2 x 4,Light Bluish Gray,71,10
3710,Plate 1 x 4,Dark Brown,308,9
3021,Plate 2 x 3,Light Bluish Gray,71,8
3710,Plate 1 x 4,Red,4,8
3024,Plate 1 x 1,Dark Brown,308,8
3832,Plate 2 x 10,Black,0,7
3028,Plate 6 x 12,Black,0,7
3031,Plate 4 x 4,Dark Bluish Gray,72,7
3023,Plate 1 x 2,Light Aqua,323,7
3024,Plate 1 x 1,Light Aqua,323,7
3034,Plate 2 x 8,Dark Orange,484,7
3795,Plate 2 x 6,Light Bluish Gray,71,6
2445,Plate 2 x 12,Dark Orange,484,5
3023,Plate 1 x 2,Dark Brown,308,5
3031,Plate 4 x 4,Black,0,4
60479,Plate 1 x 12,Light Bluish Gray,71,4
4282,Plate 2 x 16,Black,0,4
3832,Plate 2 x 10,Dark Orange,484,4
3023,Plate 1 x 2,Red,4,4
4282,Plate 2 x 16,Dark Bluish Gray,72,3
92438,Plate 8 x 16,Black,0,3
3034,Plate 2 x 8,Black,0,3
3958,Plate 6 x 6,Dark Bluish Gray,72,3
3460,Plate 1 x 8,Light Bluish Gray,71,3
2445,Plate 2 x 12,Black,0,3
3031,Plate 4 x 4,Dark Orange,484,2
3032,Plate 4 x 6,Dark Bluish Gray,72,2
3032,Plate 4 x 6,Black,0,2
3623,Plate 1 x 3,Light Aqua,323,2
3023,Plate 1 x 2,Orange,25,2
3623,Plate 1 x 3,Red,4,2
92438,Plate 8 x 16,Dark Orange,484,2
3032,Plate 4 x 6,Dark Orange,484,2
3623,Plate 1 x 3,Dark Red,320,2
3623,Plate 1 x 3,Dark Brown,308,2
3036,Plate 6 x 8,Dark Bluish Gray,72,2
3024,Plate 1 x 1,Reddish Brown,70,2
41539,Plate 8 x 8,Black,0,1
92438,Plate 8 x 16,Dark Bluish Gray,72,1
3035,Plate 4 x 8,Dark Bluish Gray,72,1
3710,Plate 1 x 4,Light Aqua,323,1
3035,Plate 4 x 8,Black,0,1
3027,Plate 6 x 16,Dark Bluish Gray,72,1
3035,Plate 4 x 8,Dark Orange,484,1
3958,Plate 6 x 6,Dark Orange,484,1
3024,Plate 1 x 1,Orange,25,1
3029,Plate 4 x 12,Dark Bluish Gray,72,1
3029,Plate 4 x 12,Dark Orange,484,1
3028,Plate 6 x 12,Dark Bluish Gray,72,1
4477,Plate 1 x 10,Red,4,1
60479,Plate 1 x 12,Red,4,1
3023,Plate 1 x 2,Dark Red,320,1
3030,Plate 4 x 10,Black,0,1
3022,Plate 2 x 2,Dark Brown,308,1
